"measurement_id","location_id","pm25","recorded_at","AQI"
"182","225617","44.2","2024-10-26 03:11:10","122"
"183","1214722","9","2024-10-26 03:12:11","50"
"184","9466","6.98","2024-10-26 03:13:12","39"
"185","1324","11.6","2024-10-26 03:20:12","56"
"186","589967","8.5","2024-10-26 03:21:13","47"
"187","2162178","22.38","2024-10-26 03:22:13","76"
"188","1590755","3.53","2024-10-26 03:23:13","20"
"189","8118","100","2024-10-26 03:24:13","182"
"190","225617","44.2","2024-10-26 03:25:13","122"
"191","1214722","9","2024-10-26 03:26:13","50"
"192","9466","6.98","2024-10-26 03:27:13","39"
"193","1324","11.3","2024-10-26 04:06:06","55"
"194","589967","10","2024-10-26 04:07:08","53"
"195","2162178","23.8","2024-10-26 04:08:10","78"
"196","1590755","2.67","2024-10-26 04:09:11","15"
"197","8118","122","2024-10-26 04:10:12","198"
"198","225617","44.2","2024-10-26 04:11:13","122"
"199","1214722","10","2024-10-26 04:12:14","53"
"200","9466","6.96","2024-10-26 04:13:15","39"
"201","1324","11.2","2024-10-26 05:06:06","55"
"202","589967","10.6","2024-10-26 05:07:07","54"
"203","2162178","25.25","2024-10-26 05:08:08","81"
"204","1590755","2.14","2024-10-26 05:09:09","12"
"205","8118","124","2024-10-26 05:10:10","199"
"206","225617","44.2","2024-10-26 05:11:11","122"
"207","1214722","9","2024-10-26 05:12:12","50"
"208","9466","7.01","2024-10-26 05:13:13","39"
"209","1324","11.4","2024-10-26 06:06:06","55"
"210","589967","9","2024-10-26 06:07:06","50"
"211","2162178","27.22","2024-10-26 06:08:07","85"
"212","1590755","2.39","2024-10-26 06:09:08","13"
"213","8118","120","2024-10-26 06:10:09","196"
"214","225617","44.2","2024-10-26 06:11:10","122"
"215","1214722","10","2024-10-26 06:12:11","53"
"216","9466","7.1","2024-10-26 06:13:12","39"
"217","1324","8.4","2024-10-26 07:06:05","47"
"218","589967","9","2024-10-26 07:07:06","50"
"219","2162178","26.96","2024-10-26 07:08:07","84"
"220","1590755","2.11","2024-10-26 07:09:08","12"
"221","8118","106","2024-10-26 07:10:09","186"
"222","225617","33.7","2024-10-26 07:11:10","97"
"223","1214722","9","2024-10-26 07:12:10","50"
"224","9466","6.44","2024-10-26 07:13:11","36"
"225","1324","9.2","2024-10-26 08:06:05","51"
"226","589967","9","2024-10-26 08:07:06","50"
"227","2162178","26.96","2024-10-26 08:08:07","84"
"228","1590755","2.09","2024-10-26 08:09:08","12"
"229","8118","110","2024-10-26 08:10:09","189"
"230","225617","32.7","2024-10-26 08:11:10","95"
"231","1214722","9","2024-10-26 08:12:10","50"
"232","9466","5.58","2024-10-26 08:13:11","31"
"233","1324","9.2","2024-10-26 08:20:12","51"
"234","589967","9","2024-10-26 08:21:12","50"
"235","2162178","26.96","2024-10-26 08:22:12","84"
"236","1590755","2.09","2024-10-26 08:23:12","12"
"237","8118","110","2024-10-26 08:24:12","189"
"238","225617","32.7","2024-10-26 08:25:12","95"
"239","1214722","9","2024-10-26 08:26:12","50"
"240","9466","5.58","2024-10-26 08:27:12","31"
"241","1324","9.9","2024-10-26 09:06:06","52"
"242","589967","9","2024-10-26 09:07:06","50"
"243","2162178","27.18","2024-10-26 09:08:07","85"
"244","1590755","2.18","2024-10-26 09:09:08","12"
"245","8118","110","2024-10-26 09:10:09","189"
"246","225617","31.6","2024-10-26 09:11:10","93"
"247","1214722","11","2024-10-26 09:12:11","55"
"248","9466","5","2024-10-26 09:13:11","28"
"249","1324","9.9","2024-10-26 10:06:05","52"
"250","589967","9","2024-10-26 10:07:06","50"
"251","2162178","27.65","2024-10-26 10:08:07","86"
"252","1590755","2.81","2024-10-26 10:09:08","16"
"253","8118","102","2024-10-26 10:10:09","184"
"254","225617","30.1","2024-10-26 10:11:10","90"
"255","1214722","11","2024-10-26 10:12:11","55"
"256","9466","4.69","2024-10-26 10:13:11","26"
"257","1324","14.6","2024-10-26 11:06:05","61"
"258","589967","9","2024-10-26 11:07:06","50"
"259","2162178","27.85","2024-10-26 11:08:07","86"
"260","1590755","3.69","2024-10-26 11:09:08","21"
"261","8118","102","2024-10-26 11:10:09","184"
"262","225617","29","2024-10-26 11:11:10","88"
"263","1214722","11","2024-10-26 11:12:10","55"
"264","9466","4.71","2024-10-26 11:13:11","26"
"265","1324","14.6","2024-10-26 11:20:12","61"
"266","589967","9","2024-10-26 11:21:12","50"
"267","2162178","27.85","2024-10-26 11:22:12","86"
"268","1590755","3.69","2024-10-26 11:23:12","21"
"269","8118","102","2024-10-26 11:24:12","184"
"270","225617","29","2024-10-26 11:25:12","88"
"271","1214722","11","2024-10-26 11:26:12","55"
"272","9466","4.71","2024-10-26 11:27:12","26"
"273","1324","14.4","2024-10-26 12:06:06","61"
"274","589967","9","2024-10-26 12:07:07","50"
"275","2162178","27.82","2024-10-26 12:08:08","86"
"276","1590755","4.56","2024-10-26 12:09:08","25"
"277","8118","120","2024-10-26 12:10:09","196"
"278","225617","28","2024-10-26 12:11:10","86"
"279","1214722","12","2024-10-26 12:12:11","56"
"280","9466","4.65","2024-10-26 12:13:12","26"
"281","1324","14.3","2024-10-26 13:06:05","61"
"282","589967","9","2024-10-26 13:07:07","50"
"283","2162178","27.82","2024-10-26 13:08:08","86"
"284","1590755","4.01","2024-10-26 13:09:09","22"
"285","8118","159","2024-10-26 13:10:10","234"
"286","225617","27.1","2024-10-26 13:11:10","85"
"287","1214722","12","2024-10-26 13:12:11","56"
"288","9466","4.64","2024-10-26 13:13:12","26"
"289","1324","14.3","2024-10-26 13:20:12","61"
"290","589967","9","2024-10-26 13:21:13","50"
"291","2162178","27.82","2024-10-26 13:22:13","86"
"292","1590755","4.01","2024-10-26 13:23:13","22"
"293","8118","159","2024-10-26 13:24:13","234"
"294","225617","27.1","2024-10-26 13:25:13","85"
"295","1214722","12","2024-10-26 13:26:13","56"
"296","9466","4.64","2024-10-26 13:27:13","26"
"297","1324","10","2024-10-26 14:06:05","53"
"298","589967","9","2024-10-26 14:07:06","50"
"299","2162178","27.47","2024-10-26 14:08:07","85"
"300","1590755","3.39","2024-10-26 14:09:08","19"
"301","8118","132","2024-10-26 14:10:09","207"
"302","225617","24.9","2024-10-26 14:11:10","80"
"303","1214722","11","2024-10-26 14:12:11","55"
"304","9466","4.56","2024-10-26 14:13:12","25"
"305","1324","9.4","2024-10-26 15:06:05","52"
"306","589967","9","2024-10-26 15:07:06","50"
"307","2162178","27.74","2024-10-26 15:08:07","86"
"308","1590755","3.81","2024-10-26 15:09:08","21"
"309","8118","105","2024-10-26 15:10:08","186"
"310","225617","25.1","2024-10-26 15:11:09","81"
"311","1214722","10","2024-10-26 15:12:10","53"
"312","9466","4.63","2024-10-26 15:13:11","26"
"313","1324","10.5","2024-10-26 16:06:05","54"
"314","589967","9","2024-10-26 16:07:06","50"
"315","2162178","28.77","2024-10-26 16:08:07","88"
"316","1590755","5.32","2024-10-26 16:09:08","30"
"317","8118","130","2024-10-26 16:10:09","205"
"318","225617","25.4","2024-10-26 16:11:09","81"
"319","1214722","11","2024-10-26 16:12:10","55"
"320","9466","4.59","2024-10-26 16:13:11","26"
"321","1324","12.2","2024-10-26 17:06:05","57"
